A_known,A_learning,A_skill,A_streak,B_known,B_learning,B_skill,B_streak,label
5,4,2,69,2,6,2,23,0
4,5,3,10,4,5,2,5,1
9,3,3,1,3,5,3,95,0
2,1,3,64,1,2,3,21,1
2,11,2,62,11,10,1,56,0
8,3,2,28,2,8,1,8,0
5,7,3,13,7,5,2,74,1
2,1,3,64,8,5,3,88,0
3,9,1,13,9,3,3,55,1
8,10,3,73,10,8,3,31,1
5,1,2,37,10,5,3,55,0
9,6,3,87,2,8,1,29,0
1,3,2,2,1,3,3,69,1
11,7,2,53,10,3,3,42,0
2,7,3,66,1,7,1,83,0
5,2,1,70,5,2,3,71,1
6,11,3,74,11,6,2,82,1
4,6,1,47,4,6,3,3,1
10,8,2,90,9,11,3,74,0
8,4,1,26,8,4,1,71,1
2,6,1,98,9,10,2,30,0
11,2,2,39,3,1,3,50,0
5,3,2,47,3,5,2,22,1
5,7,2,27,11,6,1,3,0
1,6,2,98,6,1,1,79,1
10,7,1,13,8,11,1,77,0
4,10,3,7,10,7,3,29,0
9,3,3,1,9,6,3,95,0
5,8,3,70,6,1,2,44,0
11,8,2,13,8,11,3,52,1
6,7,1,72,7,6,1,46,1
11,8,2,15,6,1,1,85,0
9,4,2,94,11,1,3,70,0
4,6,1,57,1,6,2,89,0
1,4,2,83,1,11,2,75,0
11,1,1,89,11,8,1,73,0
1,9,1,5,9,1,1,13,1
6,10,2,64,9,7,1,85,0
6,10,1,43,9,6,1,54,0
2,1,3,27,2,1,1,33,1
1,4,3,72,4,11,1,12,0
11,2,3,6,4,9,1,44,0
4,11,3,47,7,4,2,5,0
2,5,2,76,1,9,1,5,0
3,4,3,44,2,9,3,68,0
5,4,3,6,3,7,1,14,0
11,1,1,28,9,3,1,58,0
3,7,1,14,7,11,3,46,0
3,5,2,17,11,10,1,36,0
4,7,1,72,5,1,1,50,0
7,9,1,58,6,2,3,81,0
2,4,3,79,4,2,2,99,1
10,8,2,87,10,8,2,29,1
8,11,1,46,8,11,1,77,1
10,3,3,42,2,8,2,62,0
1,9,1,81,10,7,3,91,0
3,7,1,58,3,7,1,14,1
5,6,3,75,5,3,2,37,0
5,9,1,86,3,4,2,29,0
4,3,1,8,1,11,2,75,0
7,9,2,57,10,11,3,25,0
5,10,3,100,1,6,2,89,0
10,7,1,16,8,10,1,76,0
1,8,2,6,5,2,2,26,0
10,4,3,61,4,10,3,72,1
4,5,2,11,5,4,3,12,1
8,7,2,4,8,7,3,76,1
10,11,3,43,10,11,3,25,1
2,4,3,79,4,2,3,45,1
11,10,1,4,10,11,3,80,1
5,6,1,98,6,5,2,60,1
9,8,1,5,8,5,2,66,0
7,3,2,82,7,3,1,64,1
9,3,2,12,2,9,2,31,0
2,4,2,70,2,4,3,88,1
6,7,2,89,5,8,1,69,0
3,4,2,29,4,11,1,12,0
11,5,2,63,11,5,3,58,1
11,8,1,57,8,11,3,64,1
7,3,1,45,3,7,3,7,1
6,5,2,60,5,7,3,41,0
1,8,2,6,1,8,1,1,1
11,2,2,55,2,11,3,87,1
2,1,3,47,11,2,2,55,0
6,4,3,40,11,8,2,17,0
7,11,1,87,8,7,3,41,0
5,3,2,91,9,6,3,95,0
4,9,3,98,4,9,3,80,1
3,2,2,52,5,8,3,39,0
9,2,1,48,6,1,3,54,0
10,8,1,56,11,8,3,51,0
5,7,2,27,1,9,1,93,0
1,2,3,21,2,1,2,6,1
7,10,1,53,4,10,3,72,0
4,9,2,82,11,2,1,91,0
4,6,1,57,4,6,2,20,1
9,1,2,10,10,6,2,91,0
3,6,3,46,9,3,1,58,0
11,6,1,3,6,10,3,43,0
7,8,1,28,6,2,2,59,0
3,9,1,13,9,3,3,1,1
5,10,1,69,10,5,1,33,1
7,10,1,82,6,3,2,59,0
10,5,1,84,3,9,2,87,0
6,9,2,13,8,10,3,73,0
8,2,1,51,1,3,2,4,0
2,7,2,89,7,2,2,3,1
10,1,1,59,5,3,1,91,0
2,5,2,76,7,6,3,92,0
2,6,2,13,2,6,2,87,1
5,11,3,27,11,9,3,2,0
11,6,1,95,5,3,3,10,0
11,8,1,73,9,2,1,67,0
2,1,3,64,10,3,1,26,0
7,8,1,28,8,7,3,41,1
2,11,2,69,1,6,1,92,0
8,11,1,77,2,6,3,76,0
6,10,3,85,8,7,3,41,0
1,11,1,32,10,2,3,89,0
9,10,1,49,4,10,2,48,0
5,3,2,2,2,4,2,83,0
1,3,2,58,1,3,1,54,1
4,6,3,98,4,6,2,20,1
9,8,3,39,8,9,1,5,1
7,5,2,31,7,5,3,67,1
4,9,3,80,9,4,3,7,1
6,7,2,24,7,6,1,86,1
7,4,1,14,1,5,2,21,0
4,1,1,62,5,3,1,11,0
5,11,1,34,4,10,3,72,0
1,11,1,55,10,4,3,38,0
8,7,1,57,7,8,2,65,1
10,9,2,84,10,9,1,33,1
4,6,1,49,9,7,2,80,0
11,6,1,87,11,6,2,21,1
10,7,3,61,11,9,2,16,0
11,7,1,32,2,4,3,79,0
9,5,3,17,2,7,3,66,0
11,6,1,23,11,6,2,18,1
11,5,2,42,5,11,3,60,1
5,1,2,37,4,5,3,10,0
11,7,3,85,11,7,3,84,1
11,6,1,23,11,8,2,15,0
6,9,2,39,6,9,3,64,1
4,9,3,80,11,4,3,87,0
6,1,1,79,1,11,3,92,0
2,7,2,37,7,2,3,93,1
11,10,3,71,3,8,2,66,0
11,9,1,68,11,9,2,76,1
8,4,1,71,8,4,1,3,1
8,1,3,91,5,1,1,50,0
10,8,1,56,6,4,1,51,0
9,6,1,54,4,9,1,68,0
3,2,3,87,8,4,1,75,0
6,1,1,79,1,6,1,96,1
4,9,1,44,9,4,3,61,1
3,7,1,14,3,7,1,90,1
4,5,3,85,8,10,1,8,0
10,8,1,63,11,8,3,77,0
5,4,2,69,4,5,2,5,1
5,1,1,35,1,5,3,2,1
1,5,3,68,9,10,3,85,0
11,9,1,68,4,7,3,75,0
11,8,2,13,2,5,1,65,0
9,5,1,70,5,9,1,10,1
3,4,2,67,3,4,3,47,1
10,1,2,25,10,6,2,79,0
3,8,3,70,8,3,3,35,1
3,9,3,30,1,7,1,83,0
3,5,2,31,4,11,1,94,0
11,2,2,72,11,2,2,63,1
4,11,1,94,2,9,3,68,0
11,5,1,67,11,5,3,9,1
8,4,1,71,2,6,2,87,0
7,10,1,53,7,10,2,7,1
5,7,3,13,6,3,1,29,0
3,1,1,82,1,3,3,49,1
4,2,1,57,2,4,3,79,1
3,11,3,5,11,3,1,7,1
1,5,3,2,5,1,3,44,1
6,3,2,70,3,6,1,27,1
4,9,1,44,4,9,3,98,1
6,8,2,45,8,4,1,24,0
3,5,2,47,1,3,2,2,0
8,6,2,85,10,11,1,76,0
4,6,3,46,4,6,2,33,1
4,5,3,31,5,4,2,32,1
6,5,2,66,5,6,1,98,1
5,3,1,91,9,6,2,88,0
8,2,1,82,8,4,2,47,0
1,8,3,5,1,8,2,6,1
7,4,2,5,4,7,1,47,1
10,5,2,68,10,5,2,40,1
11,10,2,91,8,5,1,28,0
3,5,2,47,3,5,2,17,1
2,11,3,35,2,11,2,69,1
2,11,2,69,5,7,2,79,0
10,8,2,29,8,10,1,8,1
1,6,2,98,5,7,3,9,0
9,7,1,88,9,7,1,58,1
3,11,2,99,7,9,1,85,0
9,7,1,85,7,4,2,5,0
8,1,3,100,1,8,3,5,1
7,8,2,27,11,7,3,5,0
2,7,2,89,2,7,1,28,1
7,1,1,6,7,1,3,70,1
11,1,3,70,9,5,1,74,0
2,6,2,23,4,7,3,75,0
10,11,1,24,6,2,2,15,0
8,10,2,67,8,10,1,17,1
11,10,3,66,11,10,2,91,1
9,2,1,71,2,9,2,31,1
7,9,2,30,9,7,2,40,1
3,2,3,13,2,3,2,75,1
4,9,1,44,7,9,1,58,0
3,7,1,93,7,11,3,62,0
2,10,2,11,6,4,1,25,0
6,2,2,59,7,10,2,94,0
10,9,3,47,10,9,3,66,1
10,3,2,56,4,7,3,96,0
9,6,1,67,8,7,3,41,0
2,11,1,90,9,2,2,61,0
5,3,2,37,3,7,3,7,0
6,11,3,74,8,5,1,53,0
10,2,1,3,2,10,2,89,1
11,2,3,5,10,9,1,33,0
8,4,1,26,5,3,2,20,0
7,2,2,3,7,2,2,11,1
4,8,3,73,7,5,2,48,0
7,2,2,4,7,2,2,11,1
2,7,1,42,3,2,2,79,0
10,8,1,56,8,10,2,67,1
3,5,2,31,5,9,1,10,0
3,1,1,93,1,3,2,63,1
8,6,2,31,11,6,1,87,0
10,2,3,93,4,5,2,5,0
4,3,1,8,3,4,3,47,1
3,1,3,65,3,1,2,15,1
2,4,3,33,2,4,2,37,1
4,3,1,8,3,4,3,47,1
9,11,1,9,5,4,3,88,0
1,6,1,52,8,4,1,75,0
8,10,1,18,8,10,2,67,1
7,1,2,90,7,1,3,70,1
2,1,3,42,6,5,3,90,0
4,6,1,98,6,4,1,65,1
1,4,2,83,2,10,2,27,0
6,3,1,74,3,8,2,96,0
4,8,1,69,8,4,1,26,1
11,10,2,55,1,9,3,29,0
8,1,2,8,4,1,1,86,0
6,9,3,64,9,6,2,31,1
9,5,1,43,9,5,1,22,1
4,1,1,86,11,2,1,26,0
10,1,1,34,1,4,1,54,0
9,7,3,91,5,6,1,57,0
1,4,3,72,1,4,1,54,1
1,10,2,70,10,1,3,6,1
4,6,3,3,10,5,3,55,0
3,6,2,43,3,6,2,81,1
10,9,3,66,7,3,3,4,0
6,4,1,51,5,7,3,13,0
2,11,3,87,11,2,2,63,1
1,3,2,2,7,1,2,4,0
9,6,3,50,6,9,2,13,1
4,1,1,86,10,1,1,38,0
7,8,1,5,11,10,3,71,0
7,9,2,19,9,11,1,9,0
4,5,3,10,2,10,1,97,0
1,3,2,58,3,1,1,82,1
7,4,1,90,7,4,1,3,1
11,3,1,7,8,10,1,8,0
2,6,1,2,2,9,2,47,0
10,8,3,31,8,10,3,33,1
4,6,3,46,4,6,1,57,1
5,6,2,57,3,5,2,47,0
2,11,2,62,5,3,1,91,0
2,9,3,39,6,3,2,77,0
7,5,2,74,7,5,1,65,1
1,10,2,70,4,8,1,69,0
1,7,1,15,1,3,3,38,0
7,11,3,62,11,7,3,73,1
2,6,3,76,9,11,3,65,0
2,1,3,47,2,5,1,65,0
8,9,1,57,9,8,2,28,1
3,1,3,65,1,3,2,41,1
2,4,2,83,7,5,3,100,0
4,5,3,31,11,9,3,43,0
1,7,1,8,7,1,1,6,1
11,9,3,62,9,3,1,14,0
9,6,1,23,4,2,3,45,0
4,11,2,18,11,4,1,59,1
8,10,1,39,10,3,1,26,0
9,6,1,50,9,6,2,1,1
11,2,3,5,7,8,1,5,0
1,4,2,9,6,7,1,26,0
2,8,1,8,8,1,1,80,0
9,6,2,31,6,9,1,13,1
9,11,2,35,5,4,3,12,0
1,3,2,2,6,3,1,74,0
7,1,3,70,8,5,2,33,0
10,1,1,34,10,7,3,29,0
2,7,3,78,6,1,3,54,0
6,7,2,89,5,3,2,20,0
4,7,1,72,9,1,2,35,0
4,10,1,55,10,4,3,61,1
9,10,2,75,10,9,1,57,1
5,3,3,48,5,3,2,2,1
5,3,3,48,3,5,2,47,1
2,4,2,56,11,4,3,40,0
3,2,2,95,4,11,1,85,0
11,3,2,47,11,3,1,7,1
4,9,1,33,4,9,2,94,1
11,4,1,22,4,11,1,66,1
4,8,2,69,4,8,3,73,1
10,6,2,79,8,5,1,42,0
10,3,3,49,10,3,3,42,1
6,2,2,59,1,9,1,5,0
6,4,2,5,2,4,3,65,0
10,3,3,49,11,10,1,36,0
7,3,1,64,3,7,1,90,1
1,3,2,19,10,8,1,82,0
6,5,2,33,5,6,1,57,1
2,6,2,39,3,1,3,65,0
11,10,1,36,11,10,2,55,1
4,9,1,44,5,6,2,57,0
4,10,2,48,10,4,1,79,1
7,8,2,56,2,4,1,91,0
5,6,2,89,5,6,1,98,1
8,2,1,75,8,7,3,3,0
2,7,2,37,7,2,3,93,1
10,7,1,86,3,10,3,74,0
4,8,1,69,8,4,2,47,1
6,1,3,93,1,4,1,6,0
4,3,1,21,3,4,2,29,1
8,5,1,42,5,6,2,23,0
4,10,3,7,5,3,2,37,0
5,8,1,84,5,8,3,70,1
11,6,1,23,1,3,2,19,0
9,6,2,98,6,4,3,86,0
7,2,2,3,4,5,2,5,0
4,3,1,8,3,4,3,44,1
4,11,2,18,11,4,3,40,1
3,8,3,70,3,8,2,66,1
1,2,1,97,1,2,3,58,1
8,6,1,65,4,5,2,97,0
1,7,3,99,4,2,2,72,0
8,9,1,57,11,4,1,22,0
4,3,1,78,6,4,1,79,0
6,5,2,60,10,4,3,61,0
8,9,1,60,5,1,3,44,0
4,8,1,31,8,4,1,3,1
5,9,2,40,5,10,1,3,0
2,6,1,98,1,7,1,15,0
6,2,3,40,2,6,1,61,1
10,8,1,63,5,3,3,48,0
9,5,3,31,5,9,1,86,1
10,3,2,73,3,2,2,50,0
8,3,2,68,4,8,1,31,0
9,2,1,98,9,2,2,12,1
11,2,1,91,11,2,2,39,1
3,5,2,22,6,3,1,74,0
7,10,2,94,6,3,2,63,0
8,7,1,82,8,7,3,76,1
6,3,1,66,2,4,3,33,0
6,3,1,66,3,6,2,43,1
10,1,1,80,10,1,2,46,1
2,7,1,42,2,6,2,23,0
2,1,3,26,10,9,2,84,0
8,1,2,7,10,7,1,13,0
2,8,2,26,8,2,1,82,1
9,6,2,88,2,10,3,93,0
10,5,1,33,10,11,3,90,0
6,3,1,96,7,1,2,4,0
8,5,1,50,7,10,2,94,0
1,10,2,1,1,10,2,90,1
5,3,1,91,5,3,1,11,1
1,11,1,55,5,6,3,75,0
10,8,1,6,8,9,1,65,0
6,1,3,54,11,10,2,91,0
1,11,1,43,1,11,1,75,1
11,4,1,22,9,7,3,91,0
1,11,2,30,11,2,1,26,0
3,6,1,88,3,6,2,81,1
10,8,2,29,5,3,1,11,0
8,5,1,53,7,4,2,39,0
7,9,1,27,1,6,2,89,0
4,2,2,63,2,10,3,89,0
2,10,2,89,2,10,2,51,1
9,1,2,69,11,5,2,89,0
7,3,3,4,3,7,1,93,1
4,7,2,38,8,1,3,47,0
9,8,1,45,8,9,1,100,1
10,5,2,40,10,5,3,85,1
6,10,1,83,9,5,3,27,0
9,5,2,45,9,5,3,84,1
4,1,1,62,10,9,2,72,0
1,4,3,39,4,1,2,13,1
6,4,3,40,6,4,3,86,1
2,7,3,66,4,1,1,35,0
5,1,1,35,3,4,1,23,0
9,7,1,85,11,10,1,4,0
5,4,1,90,2,4,2,98,0
5,2,3,69,5,2,1,62,1
1,10,3,32,7,11,3,62,0
6,10,3,85,6,10,2,64,1
8,2,2,79,2,4,3,88,0
2,4,1,91,11,1,1,28,0
10,9,2,84,10,9,3,47,1
3,2,3,87,5,9,1,86,0
7,10,1,53,7,4,2,39,0
10,11,1,24,6,3,1,64,0
1,2,3,58,10,8,1,6,0
1,11,1,32,1,11,2,6,1
11,1,1,91,3,4,1,23,0
7,4,2,5,2,4,3,88,0
1,3,3,69,9,5,3,31,0
5,10,1,3,10,5,2,40,1
8,5,3,81,8,5,2,89,1
2,7,1,28,2,7,2,78,1
11,9,1,68,4,1,2,61,0
5,7,2,79,7,5,3,100,1
9,10,1,49,6,4,2,34,0
3,4,2,67,9,3,2,32,0
6,5,1,30,8,3,2,32,0
11,8,1,57,4,1,2,79,0
11,8,2,19,11,5,2,86,0
8,2,2,79,10,1,1,34,0
3,2,3,13,1,11,1,60,0
2,7,3,83,7,2,2,3,1
8,4,3,63,5,2,1,62,0
10,8,1,82,6,8,3,29,0
6,10,1,99,10,6,3,84,1
11,6,2,82,9,1,1,65,0
7,8,1,8,8,7,3,3,1
7,8,3,42,8,7,2,4,1
3,11,3,5,4,5,2,11,0
6,11,2,90,1,11,3,92,0
10,9,2,81,9,10,3,65,1
7,4,2,88,7,4,1,20,1
9,5,3,27,5,9,2,40,1
11,2,2,39,11,9,1,68,0
8,9,3,51,4,9,1,68,0
11,10,1,19,4,1,2,28,0
5,4,3,10,8,5,2,41,0
2,11,2,69,11,2,1,93,1
8,2,1,82,7,5,3,2,0
7,4,2,24,5,8,3,91,0
4,1,2,42,1,4,1,54,1
2,8,2,81,8,2,1,82,1
5,4,3,6,4,5,1,91,1
4,10,1,15,1,3,1,54,0
10,8,1,56,6,4,3,86,0
8,11,1,46,11,6,1,96,0
7,10,2,7,11,2,2,72,0
1,10,2,70,2,3,3,12,0
7,5,2,74,7,5,2,48,1
7,4,1,20,2,7,1,28,0
2,7,3,78,7,2,3,82,1
1,11,1,49,11,1,3,7,1
5,2,3,69,5,2,3,46,1
1,9,3,24,1,5,3,80,0
11,1,3,31,10,11,3,43,0
11,5,3,58,11,5,2,89,1
5,3,2,19,5,3,1,48,1
8,3,2,68,8,3,1,14,1
2,5,2,64,8,6,2,40,0
6,4,2,5,6,4,1,65,1
11,2,3,40,11,4,2,63,0
2,5,1,65,4,2,3,41,0
5,8,3,81,8,5,2,89,1
2,7,3,78,2,7,1,100,1
2,7,3,7,1,5,1,68,0
2,6,3,13,7,1,2,90,0
9,2,1,98,8,10,1,19,0
3,7,1,14,7,3,1,69,1
2,8,2,80,3,4,2,29,0
5,8,3,81,8,5,2,66,1
7,6,1,86,1,3,2,2,0
7,2,2,3,7,2,1,48,1
11,10,1,4,3,6,1,88,0
2,3,2,75,2,3,3,12,1
1,7,1,8,8,3,2,32,0
3,9,1,7,9,10,1,49,0
6,2,3,81,6,2,1,69,1
10,11,3,80,11,10,1,56,1
4,1,2,49,2,3,2,31,0
10,2,2,43,11,2,3,70,0
6,7,1,26,2,9,3,68,0
7,9,1,27,7,2,3,82,0
4,1,2,28,4,1,2,49,1
1,8,1,10,11,8,1,57,0
9,8,1,79,11,2,2,72,0
8,2,1,51,2,4,1,91,0
10,1,1,34,8,1,3,52,0
9,11,3,89,9,11,3,93,1
6,1,3,93,1,6,1,52,1
10,3,3,42,10,3,2,56,1
9,10,1,97,11,5,2,42,0
10,7,3,91,10,7,3,40,1
2,6,3,13,6,2,2,28,1
9,3,2,12,5,4,3,6,0
6,5,2,1,10,9,2,13,0
11,1,1,91,3,1,3,65,0
9,2,1,22,10,3,2,72,0
1,8,2,6,10,11,1,76,0
2,3,1,96,3,2,2,50,1
10,4,3,38,5,3,1,37,0
2,4,1,3,7,10,1,82,0
4,9,2,82,4,9,1,33,1
4,8,2,29,11,2,2,72,0
9,2,1,67,2,9,3,68,1
10,2,3,89,10,2,3,93,1
8,3,2,68,3,8,3,70,1
6,8,2,11,6,8,3,29,1
2,8,1,48,4,5,2,11,0
8,3,1,14,4,10,1,15,0
4,7,1,3,5,2,3,69,0
2,1,1,33,7,5,3,100,0
9,6,3,67,6,9,3,90,1
1,8,2,6,8,1,3,91,1
1,3,2,58,3,1,2,15,1
5,6,1,98,10,9,3,31,0
9,7,3,78,7,9,1,13,1
5,6,1,57,11,10,1,56,0
7,8,3,8,3,8,1,36,0
10,2,1,88,10,6,2,91,0
5,2,2,28,5,2,3,46,1
5,4,1,74,4,5,2,97,1
11,7,2,53,4,10,2,80,0
1,9,3,58,10,3,2,56,0
1,10,3,20,1,4,1,57,0
4,11,1,43,1,7,1,52,0
2,7,3,83,2,7,3,66,1
1,10,3,12,2,8,1,29,0
11,6,3,2,4,7,2,15,0
5,3,1,11,5,3,1,42,1
11,5,1,47,7,11,3,84,0
6,1,1,85,4,1,3,93,0
1,5,3,68,9,3,3,77,0
9,10,1,49,5,3,2,47,0
4,10,2,48,4,10,3,72,1
6,7,2,88,10,4,1,79,0
4,8,3,95,8,4,1,26,1
9,10,1,37,10,9,3,66,1
11,2,2,55,10,3,1,80,0
4,1,2,49,6,7,1,1,0
9,11,3,74,9,11,3,65,1
9,11,3,93,10,6,3,25,0
9,7,1,40,7,9,1,84,1
5,1,1,50,1,5,2,70,1
9,7,3,91,9,7,3,78,1
9,3,1,58,1,3,1,12,0
11,7,2,53,7,11,3,84,1
3,4,1,44,4,3,1,21,1
8,10,2,94,6,10,2,10,0
9,10,3,85,10,9,3,47,1
1,2,2,39,1,2,2,73,1
1,8,2,6,1,8,1,22,1
4,1,3,93,1,4,2,9,1
5,6,2,23,11,6,1,96,0
10,8,1,82,6,8,1,21,0
2,10,2,2,2,10,2,51,1
2,4,1,3,9,3,1,58,0
7,1,3,7,10,8,1,56,0
9,3,1,58,9,3,3,26,1
9,10,2,45,9,4,2,80,0
1,9,1,25,9,4,3,61,0
10,7,1,16,4,9,2,82,0
9,2,2,36,2,9,3,81,1
3,9,1,7,6,9,3,64,0
7,8,3,42,8,7,1,57,1
9,5,1,49,9,5,3,17,1
9,6,2,43,2,4,1,91,0
2,11,1,90,9,7,2,80,0
4,6,2,33,6,5,3,44,0
1,2,1,97,1,2,3,58,1
5,2,1,62,2,5,3,77,1
7,8,2,56,9,8,1,79,0
5,6,3,75,6,5,2,33,1
1,3,2,13,1,3,2,19,1
10,9,1,57,5,1,3,44,0
8,10,2,94,2,3,3,21,0
8,11,1,77,8,11,3,64,1
9,8,1,79,10,8,2,87,0
7,2,2,11,2,7,3,32,1
10,7,3,91,11,9,3,62,0
2,7,2,78,2,7,2,89,1
2,6,3,13,2,6,2,6,1
2,11,3,29,11,2,1,93,1
7,4,2,5,4,7,1,3,1
6,2,2,28,6,2,2,59,1
4,1,1,86,1,4,1,6,1
10,5,1,33,10,5,3,85,1
4,6,3,3,4,6,1,98,1
5,3,1,42,6,1,1,85,0
9,8,3,39,9,8,2,57,1
9,6,3,67,8,9,1,57,0
2,7,3,66,2,7,3,7,1
5,1,2,37,11,2,2,72,0
3,6,1,15,8,5,2,41,0
3,6,2,31,10,3,3,49,0
6,7,2,26,6,7,3,31,1
11,8,3,77,1,9,1,5,0
6,2,3,81,2,6,3,71,1
2,6,2,23,4,3,1,8,0
1,3,3,38,5,8,3,39,0
6,4,2,5,5,3,2,30,0
2,10,2,2,11,7,3,83,0
1,2,2,73,3,7,3,17,0
7,9,1,13,7,9,2,19,1
8,6,2,53,10,8,3,20,0
11,6,1,23,6,11,3,46,1
4,9,1,68,9,4,3,59,1
9,6,3,87,9,1,1,61,0
4,3,1,21,10,8,3,20,0
6,11,3,74,9,10,3,85,0
8,10,1,19,1,9,3,58,0
1,9,3,58,5,8,2,30,0
3,6,3,46,10,5,1,84,0
1,7,1,52,7,1,2,61,1
11,10,2,55,10,11,3,43,1
10,3,1,26,4,11,1,94,0
1,5,3,73,9,6,1,23,0
2,7,3,7,2,7,1,100,1
7,3,3,4,1,4,3,39,0
6,9,2,13,11,1,3,23,0
2,7,2,89,2,7,2,37,1
10,1,1,80,3,2,3,13,0
2,8,1,54,2,8,2,26,1
9,2,2,36,5,3,3,10,0
8,6,1,65,6,8,1,96,1
6,7,2,88,6,7,2,24,1
6,8,2,11,11,1,1,89,0
7,8,3,68,6,8,1,21,0
8,1,2,28,1,8,1,10,1
2,1,1,1,9,2,2,12,0
11,9,3,2,11,9,3,8,1
9,10,3,63,9,10,3,65,1
5,1,1,50,4,5,2,97,0
2,11,1,90,8,10,1,19,0
4,6,3,98,8,6,3,59,0
9,3,3,77,7,9,1,27,0
10,8,1,63,10,8,3,31,1
1,10,2,70,10,1,1,78,1
9,5,3,84,4,5,3,10,0
7,2,3,82,8,1,3,45,0
10,2,3,93,2,10,2,1,1
5,6,2,23,11,5,1,39,0
6,5,2,60,5,6,2,57,1
10,7,1,13,1,11,1,43,0
8,10,3,33,8,10,3,9,1
5,2,2,26,2,6,1,2,0
9,2,1,48,7,10,2,7,0
4,7,1,76,11,6,1,23,0
9,3,1,67,2,1,3,47,0
11,5,2,42,5,11,1,34,1
3,7,1,14,3,7,1,93,1
9,6,1,54,11,7,3,83,0
5,9,1,86,7,8,2,65,0
4,5,2,97,5,1,1,87,0
4,8,1,45,8,4,2,47,1
8,1,3,100,1,8,3,5,1
11,6,2,18,3,7,1,58,0
5,4,3,12,9,1,2,10,0
8,2,1,82,2,6,1,98,0
11,10,3,42,8,11,2,69,0
7,3,1,22,7,3,1,69,1
5,2,1,45,2,7,3,7,0
10,8,1,63,9,7,1,88,0
6,5,2,33,6,5,2,1,1
9,6,2,88,2,1,3,12,0
4,3,1,5,3,4,1,23,1
8,10,2,94,4,1,2,28,0
6,5,1,16,10,8,1,63,0
2,8,2,26,4,10,2,80,0
7,1,2,61,5,4,2,69,0
9,4,2,80,4,9,3,80,1
4,11,1,67,7,6,1,46,0
11,2,2,63,10,8,3,33,0
9,1,2,35,7,5,1,65,0
4,5,3,10,2,4,3,65,0
6,7,2,69,10,7,3,91,0
3,7,1,93,3,7,3,17,1
9,6,1,54,8,1,2,28,0
11,6,1,3,6,11,1,69,1
7,4,3,52,7,4,2,9,1
11,6,2,21,2,4,2,56,0
2,11,3,87,2,11,3,35,1
6,9,2,13,4,7,2,15,0
9,10,1,37,5,8,1,69,0
11,1,3,70,1,11,1,55,1
11,5,2,63,11,10,3,66,0
1,5,3,80,8,3,1,14,0
9,6,2,31,3,1,1,93,0
7,8,3,68,9,5,2,45,0
5,4,3,12,5,1,1,5,0
10,9,2,13,10,9,1,68,1
8,11,3,40,11,8,2,15,1
6,10,2,10,1,9,1,81,0
10,3,2,56,3,10,3,26,1
9,7,1,40,8,10,1,76,0
1,5,2,21,6,1,3,54,0
9,11,3,79,6,5,2,1,0
2,6,2,23,6,2,1,69,1
3,8,3,76,10,1,1,80,0
1,8,2,6,1,4,1,35,0
9,2,3,31,10,8,1,56,0
8,6,3,10,11,8,1,57,0
7,5,1,66,5,7,3,9,1
3,8,3,70,5,3,2,37,0
5,3,2,19,9,10,3,84,0
5,10,3,100,7,10,2,85,0
10,1,2,25,4,2,2,72,0
7,5,3,75,10,3,2,46,0
2,10,1,33,10,2,1,3,1
6,4,2,94,6,5,2,66,0
7,5,3,67,5,7,2,27,1
10,5,3,41,5,1,3,44,0
3,2,3,37,3,10,1,5,0
